Authors,Title,Publication,Volume,Number,Pages,Year,Publisher
"Craine, Joseph M; Elmore, Andrew J; Wang, Lixin; Aranibar, Julieta; Bauters, Marijn; Boeckx, Pascal; Crowley, Brooke E; Dawes, Melissa A; Delzon, Sylvain; Fajardo, Alex; ",Isotopic evidence for oligotrophication of terrestrial ecosystems,Nature Ecology & Evolution,2,11,1735-1744,2018,Nature Publishing Group
"Smith, Nicholas G; Malyshev, Sergey L; Shevliakova, Elena; Kattge, Jens; Dukes, Jeffrey S; ",Foliar temperature acclimation reduces simulated carbon sensitivity to climate,Nature Climate Change,6,4,407-411,2016,Nature Publishing Group
"Verheijen, Lieneke M; Aerts, Rien; Brovkin, Victor; Cavender‐Bares, Jeannine; Cornelissen, Johannes HC; Kattge, Jens; Van Bodegom, Peter M; ",Inclusion of ecologically based trait variation in plant functional types reduces the projected land carbon sink in an earth system model,Global change biology,21,8,3074-3086,2015,Wiley Online Library
"Manning, Peter; de Vries, Franciska T; Tallowin, Jerry RB; Smith, Roger; Mortimer, Simon R; Pilgrim, Emma S; Harrison, Kate A; Wright, Daniel G; Quirk, Helen; Benson, Joseph; ","Simple measures of climate, soil properties and plant traits predict national‐scale grassland soil carbon stocks",Journal of Applied Ecology,52,5,1188-1196,2015,Wiley Online Library
"Haase, Josephine; Castagneyrol, Bastien; Cornelissen, J Hans C; Ghazoul, Jaboury; Kattge, Jens; Koricheva, Julia; Scherer‐Lorenzen, Michael; Morath, Simon; Jactel, Hervé; ",Contrasting effects of tree diversity on young tree growth and resistance to insect herbivores across three biodiversity experiments,Oikos,124,12,1674-1685,2015,Wiley Online Library
"Aleixo, Izabela; Norris, Darren; Hemerik, Lia; Barbosa, Antenor; Prata, Eduardo; Costa, Flávia; Poorter, Lourens; ",Amazonian rainforest tree mortality driven by climate and functional traits,Nature Climate Change,9,5,384-388,2019,Nature Publishing Group
"Sardans, Jordi; Alonso, Rocio; Janssens, Ivan A; Carnicer, Jofre; Vereseglou, Stavros; Rillig, Matthias C; Fernández‐Martínez, Marcos; Sanders, Tanja GM; Penuelas, Josep; ","Foliar and soil concentrations and stoichiometry of nitrogen and phosphorous across E uropean P inus sylvestris forests: relationships with climate, N deposition and tree growth",Functional Ecology,30,5,676-689,2016,Wiley Online Library
"Harper, Anna B; Cox, Peter M; Friedlingstein, Pierre; Wiltshire, Andy J; Jones, Chris D; Sitch, Stephen; Mercado, Lina M; Groenendijk, Margriet; Robertson, Eddy; Kattge, Jens; ",Improved representation of plant functional types and physiology in the Joint UK Land Environment Simulator (JULES v4. 2) using plant trait information,Geoscientific Model Development,9,7,2415-2440,2016,Copernicus GmbH
"Zylstra, Philip; Bradstock, Ross A; Bedward, Michael; Penman, Trent D; Doherty, Michael D; Weber, Rodney O; Gill, A Malcolm; Cary, Geoffrey J; ","Biophysical mechanistic modelling quantifies the effects of plant traits on fire severity: Species, not surface fuel loads, determine flame dimensions in eucalypt forests",PloS one,11,8,e0160715,2016,"Public Library of Science San Francisco, CA USA"
"Smith, Nicholas G; Keenan, Trevor F; Colin Prentice, I; Wang, Han; Wright, Ian J; Niinemets, Ülo; Crous, Kristine Y; Domingues, Tomas F; Guerrieri, Rossella; Yoko Ishida, F; ",Global photosynthetic capacity is optimized to the environment,Ecology letters,22,3,506-517,2019,Wiley Online Library
"Gallagher, Rachael V; Leishman, Michelle R; ",A global analysis of trait variation and evolution in climbing plants,Journal of Biogeography,39,10,1757-1771,2012,Wiley Online Library
"Werner, Gijsbert DA; Cornelissen, Johannes HC; Cornwell, William K; Soudzilovskaia, Nadejda A; Kattge, Jens; West, Stuart A; Kiers, E Toby; ",Symbiont switching and alternative resource acquisition strategies drive mutualism breakdown,Proceedings of the National Academy of Sciences,115,20,5229-5234,2018,National Acad Sciences
"Van Mechelen, Carmen; Dutoit, Thierry; Hermy, Martin; ",Mediterranean open habitat vegetation offers great potential for extensive green roof design,Landscape and Urban Planning,121,,81-91,2014,Elsevier
"Santiago, Louis S; De Guzman, Mark E; Baraloto, Christopher; Vogenberg, Jacob E; Brodie, Max; Hérault, Bruno; Fortunel, Claire; Bonal, Damien; ","Coordination and trade‐offs among hydraulic safety, efficiency and drought avoidance traits in Amazonian rainforest canopy tree species",New Phytologist,218,3,1015-1024,2018,Wiley Online Library
"Naudts, Kim; Ryder, J; McGrath, MJ; Otto, J; Chen, Y; Valade, A; Bellasen, V; Berhongaray, G; Bönisch, Gerhard; Campioli, M; ","A vertically discretised canopy description for ORCHIDEE (SVN r2290) and the modifications to the energy, water and carbon fluxes",Geoscientific Model Development,8,7,2035-2065,2015,Copernicus GmbH
"Shan, Hanhuai; Kattge, Jens; Reich, Peter; Banerjee, Arindam; Schrodt, Franziska; Reichstein, Markus; ",Gap Filling in the Plant Kingdom---Trait Prediction Using Hierarchical Probabilistic Matrix Factorization,arXiv preprint arXiv:1206.6439,,,,2012,
"Vanderwel, Mark C; Slot, Martijn; Lichstein, Jeremy W; Reich, Peter B; Kattge, Jens; Atkin, Owen K; Bloomfield, Keith J; Tjoelker, Mark G; Kitajima, Kaoru; ",Global convergence in leaf respiration from estimates of thermal acclimation across time and space,New Phytologist,207,4,1026-1037,2015,Wiley Online Library
"Robroek, Bjorn JM; Jassey, Vincent EJ; Payne, Richard J; Martí, Magalí; Bragazza, Luca; Bleeker, Albert; Buttler, Alexandre; Caporn, Simon JM; Dise, Nancy B; Kattge, Jens; ",Taxonomic and functional turnover are decoupled in European peat bogs,Nature Communications,8,1,9-Jan,2017,Nature Publishing Group
"Kaarlejärvi, Elina; Eskelinen, Anu; Olofsson, Johan; ",Herbivores rescue diversity in warming tundra by modulating trait-dependent species losses and gains,Nature Communications,8,1,8-Jan,2017,Nature Publishing Group
"Tian, Di; Yan, Zhengbing; Niklas, Karl J; Han, Wenxuan; Kattge, Jens; Reich, Peter B; Luo, Yongkai; Chen, Yahan; Tang, Zhiyao; Hu, Huifeng; ",Global leaf nitrogen and phosphorus stoichiometry and their scaling exponent,National Science Review,5,5,728-739,2018,Oxford University Press
"Stampfli, Andreas; Bloor, Juliette MG; Fischer, Markus; Zeiter, Michaela; ",High land‐use intensity exacerbates shifts in grassland vegetation composition after severe experimental drought,Global Change Biology,24,5,2021-2034,2018,Wiley Online Library
"Gómez, José María; Schupp, Eugene W; Jordano, Pedro; ",Synzoochory: the ecological and evolutionary relevance of a dual interaction,Biological Reviews,94,3,874-902,2019,Wiley Online Library
"Delgado‐Baquerizo, Manuel; Fry, Ellen L; Eldridge, David J; de Vries, Franciska T; Manning, Peter; Hamonts, Kelly; Kattge, Jens; Boenisch, Gerhard; Singh, Brajesh K; Bardgett, Richard D; ",Plant attributes explain the distribution of soil microbial communities in two contrasting regions of the globe,New Phytologist,219,2,574-587,2018,Wiley Online Library
"Van der Plas, Fons; Ratcliffe, Sophia; Ruiz‐Benito, Paloma; Scherer‐Lorenzen, Michael; Verheyen, Kris; Wirth, Christian; Zavala, Miguel A; Ampoorter, Evy; Baeten, Lander; Barbaro, Luc; ",Continental mapping of forest ecosystem functions reveals a high but unrealised potential for forest multifunctionality,Ecology letters,21,1,31-42,2018,Wiley Online Library
"Madani, Nima; Kimball, John S; Affleck, David LR; Kattge, Jens; Graham, Jon; Van Bodegom, Peter M; Reich, Peter B; Running, Steven W; ",Improving ecosystem productivity modeling through spatially explicit estimation of optimal light use efficiency,Journal of Geophysical Research: Biogeosciences,119,9,1755-1769,2014,Wiley Online Library
"Van Mechelen, Carmen; Dutoit, Thierry; Kattge, Jens; Hermy, Martin; ",Plant trait analysis delivers an extensive list of potential green roof species for Mediterranean France,Ecological engineering,67,,48-59,2014,Elsevier
"Nock, Charles A; Paquette, Alain; Follett, Matt; Nowak, David J; Messier, Christian; ",Effects of urbanization on tree species functional diversity in eastern North America,Ecosystems,16,8,1487-1497,2013,Springer
"Šímová, Irena; Violle, Cyrille; Svenning, Jens‐Christian; Kattge, Jens; Engemann, Kristine; Sandel, Brody; Peet, Robert K; Wiser, Susan K; Blonder, Benjamin; McGill, Brian J; ",Spatial patterns and climate relationships of major plant traits in the New World differ between woody and herbaceous species,Journal of Biogeography,45,4,895-916,2018,Wiley Online Library
"Werner, Gijsbert DA; Cornwell, William K; Cornelissen, Johannes HC; Kiers, E Toby; ",Evolutionary signals of symbiotic persistence in the legume–rhizobia mutualism,Proceedings of the National Academy of Sciences,112,33,10262-10269,2015,National Acad Sciences
"Lee, Marissa R; Bernhardt, Emily S; van Bodegom, Peter M; Cornelissen, J Hans C; Kattge, Jens; Laughlin, Daniel C; Niinemets, Ülo; Peñuelas, Josep; Reich, Peter B; Yguel, Benjamin; ",Invasive species’ leaf traits and dissimilarity from natives shape their impact on nitrogen cycling: a meta‐analysis,New Phytologist,213,1,128-139,2017,Wiley Online Library
"Liese, Rebecca; Alings, Katrin; Meier, Ina C; ",Root branching is a leading root trait of the plant economics spectrum in temperate trees,Frontiers in plant science,8,,315,2017,Frontiers
"Soudzilovskaia, Nadejda A; Vaessen, Stijn; Barcelo, Milagros; He, Jinhong; Rahimlou, Saleh; Abarenkov, Kessy; Brundrett, Mark C; Gomes, Sofia IF; Merckx, Vincent; Tedersoo, Leho; ",FungalRoot: global online database of plant mycorrhizal associations,New Phytologist,227,3,955-966,2020,Wiley Online Library
"Madani, Nima; Kimball, John S; Ballantyne, Ashley P; Affleck, David LR; Van Bodegom, Peter M; Reich, Peter B; Kattge, Jens; Sala, Anna; Nazeri, Mona; Jones, Matthew O; ",Future global productivity will be affected by plant trait response to climate,Scientific reports,8,1,10-Jan,2018,Nature Publishing Group
"Stahl, Ulrike; Kattge, Jens; Reu, Björn; Voigt, Winfried; Ogle, Kiona; Dickie, John; Wirth, Christian; ",Whole‐plant trait spectra of North American woody plant species reflect fundamental ecological strategies,Ecosphere,4,10,28-Jan,2013,Wiley Online Library
"Averill, Colin; Bhatnagar, Jennifer M; Dietze, Michael C; Pearse, William D; Kivlin, Stephanie N; ",Global imprint of mycorrhizal fungi on whole-plant nutrient economics,Proceedings of the National Academy of Sciences,116,46,23163-23168,2019,National Acad Sciences
"Goll, Daniel S; Vuichard, Nicolas; Maignan, Fabienne; Jornet-Puig, Albert; Sardans, Jordi; Violette, Aurelie; Peng, Shushi; Sun, Yan; Kvakic, Marko; Guimberteau, Matthieu; ",A representation of the phosphorus cycle for ORCHIDEE (revision 4520),Geoscientific Model Development,10,10,3745-3770,2017,Copernicus GmbH
