Authors,Title,Publication,Volume,Number,Pages,Year,Publisher
"Tribouillois, Hélène; Fort, Florian; Cruz, Pablo; Charles, Raphaël; Flores, Olivier; Garnier, Eric; Justes, Eric; ","A functional characterisation of a wide range of cover crop species: Growth and nitrogen acquisition rates, leaf traits and ecological strategies",PLoS One,10,3,e0122156,2015,"Public Library of Science San Francisco, CA USA"
"Martin, Adam R; Isaac, Marney E; ",Plant functional traits in agroecosystems: a blueprint for research,Journal of Applied Ecology,52,6,1425-1435,2015,Wiley Online Library
"Gallagher, RV; Randall, RP; Leishman, MR; ",Trait differences between naturalized and invasive plant species independent of residence time and phylogeny,Conservation biology,29,2,360-369,2015,Wiley Online Library
"Le Bagousse‐Pinguet, Yoann; Gross, Nicolas; Maestre, Fernando T; Maire, Vincent; de Bello, Francesco; Fonseca, Carlos Roberto; Kattge, Jens; Valencia, Enrique; Leps, Jan; Liancourt, Pierre; ",Testing the environmental filtering concept in global drylands,Journal of Ecology,105,4,1058-1069,2017,Wiley Online Library
"Kempes, Christopher P; West, Geoffrey B; Crowell, Kelly; Girvan, Michelle; ",Predicting maximum tree heights and other traits from allometric scaling and resource limitations,PLoS One,6,6,e20551,2011,"Public Library of Science San Francisco, USA"
"Garnier, Eric; Stahl, Ulrike; Laporte, Marie‐Angélique; Kattge, Jens; Mougenot, Isabelle; Kühn, Ingolf; Laporte, Baptiste; Amiaud, Bernard; Ahrestani, Farshid S; Bönisch, Gerhard; ",Towards a thesaurus of plant characteristics: an ecological contribution,Journal of Ecology,105,2,298-309,2017,Wiley Online Library
"Mulder, Christian; Ahrestani, Farshid S; Bahn, Michael; Bohan, David A; Bonkowski, Michael; Griffiths, Bryan S; Guicharnaud, Rannveig Anna; Kattge, Jens; Krogh, Paul Henning; Lavorel, Sandra; ",Connecting the green and brown worlds: allometric and stoichiometric predictability of above-and below-ground networks,Advances in Ecological Research,49,,69-175,2013,Elsevier
"Loranger, Jessy; Meyer, Sebastian T; Shipley, Bill; Kattge, Jens; Loranger, Hannah; Roscher, Christiane; Weisser, Wolfgang W; ",Predicting invertebrate herbivory from plant traits: evidence from 51 grassland species in experimental monocultures,Ecology,93,12,2674-2682,2012,Wiley Online Library
"Ratcliffe, Sophia; Liebergesell, Mario; Ruiz‐Benito, Paloma; Madrigal González, Jaime; Muñoz Castañeda, Jose M; Kändler, Gerald; Lehtonen, Aleksi; Dahlgren, Jonas; Kattge, Jens; Peñuelas, Josep; ",Modes of functional biodiversity control on tree productivity across the European continent,Global ecology and biogeography,25,3,251-262,2016,Wiley Online Library
"Neuschulz, Eike Lena; Mueller, Thomas; Schleuning, Matthias; Böhning-Gaese, Katrin; ",Pollination and seed dispersal are the most threatened processes of plant regeneration,Scientific Reports,6,1,6-Jan,2016,Nature Publishing Group
"Parr, Catherine L; Dunn, Robert R; Sanders, Nathan J; Weiser, Michael D; Photakis, Manoli; Bishop, Tom R; Fitzpatrick, Matthew C; Arnan, Xavier; Baccaro, Fabricio; Brandão, Carlos RF; ",GlobalAnts: a new database on the geography of ant traits (Hymenoptera: Formicidae),Insect Conservation and Diversity,10,1,20-May,2017,Wiley Online Library
"Franklin, Janet; Serra‐Diaz, Josep M; Syphard, Alexandra D; Regan, Helen M; ",Big data for forecasting the impacts of global change on plant communities,Global Ecology and Biogeography,26,1,17-Jun,2017,Wiley Online Library
"Bergmann, Joana; Weigelt, Alexandra; van Der Plas, Fons; Laughlin, Daniel C; Kuyper, Thom W; Guerrero-Ramirez, Nathaly; Valverde-Barrantes, Oscar J; Bruelheide, Helge; Freschet, Grégoire T; Iversen, Colleen M; ",The fungal collaboration gradient dominates the root economics space in plants,Science Advances,6,27,eaba3756,2020,American Association for the Advancement of Science
