Authors,Title,Publication,Volume,Number,Pages,Year,Publisher
"Greenwood, Sarah; Ruiz‐Benito, Paloma; Martínez‐Vilalta, Jordi; Lloret, Francisco; Kitzberger, Thomas; Allen, Craig D; Fensham, Rod; Laughlin, Daniel C; Kattge, Jens; Bönisch, Gerhard; ","Tree mortality across biomes is promoted by drought intensity, lower wood density and higher specific leaf area",Ecology letters,20,4,539-553,2017,Wiley Online Library
"Pierce, Simon; Negreiros, Daniel; Cerabolini, Bruno EL; Kattge, Jens; Díaz, Sandra; Kleyer, Michael; Shipley, Bill; Wright, Stuart Joseph; Soudzilovskaia, Nadejda A; Onipchenko, Vladimir G; ",A global method for calculating plant CSR ecological strategies applied across biomes world‐wide,Functional ecology,31,2,444-457,2017,Wiley Online Library
"Werner, Gijsbert DA; Cornwell, William K; Sprent, Janet I; Kattge, Jens; Kiers, E Toby; ",A single evolutionary innovation drives the deep evolution of symbiotic N 2-fixation in angiosperms,Nature communications,5,1,9-Jan,2014,Nature Publishing Group
"Wullschleger, Stan D; Epstein, Howard E; Box, Elgene O; Euskirchen, Eugénie S; Goswami, Santonu; Iversen, Colleen M; Kattge, Jens; Norby, Richard J; Van Bodegom, Peter M; Xu, Xiaofeng; ",Plant functional types in Earth system models: past experiences and future directions for application of dynamic vegetation models in high-latitude ecosystems,Annals of botany,114,1,16-Jan,2014,Oxford University Press
"Bonan, Gordon B; Oleson, Keith W; Fisher, Rosie A; Lasslop, Gitta; Reichstein, Markus; ",Reconciling leaf physiological traits and canopy flux data: Use of the TRY and FLUXNET databases in the Community Land Model version 4,Journal of Geophysical Research: Biogeosciences,117,G2,,2012,Wiley Online Library
"Bruelheide, Helge; Dengler, Jürgen; Purschke, Oliver; Lenoir, Jonathan; Jiménez-Alfaro, Borja; Hennekens, Stephan M; Botta-Dukát, Zoltán; Chytrý, Milan; Field, Richard; Jansen, Florian; ",Global trait–environment relationships of plant communities,Nature ecology & evolution,2,12,1906-1917,2018,Nature Publishing Group
"Byun, Chaeho; de Blois, Sylvie; Brisson, Jacques; ",Plant functional group identity and diversity determine biotic resistance to invasion by an exotic grass,Journal of Ecology,101,1,128-139,2013,Wiley Online Library
"Sakschewski, Boris; Von Bloh, Werner; Boit, Alice; Poorter, Lourens; Peña-Claros, Marielos; Heinke, Jens; Joshi, Jasmin; Thonicke, Kirsten; ",Resilience of Amazon forests emerges from plant trait diversity,Nature Climate Change,6,11,1032-1036,2016,Nature Publishing Group
"Iversen, Colleen M; McCormack, M Luke; Powell, A Shafer; Blackwood, Christopher B; Freschet, Grégoire T; Kattge, Jens; Roumet, Catherine; Stover, Daniel B; Soudzilovskaia, Nadejda A; Valverde‐Barrantes, Oscar J; ",A global Fine‐Root Ecology Database to address below‐ground challenges in plant ecology,New Phytologist,215,1,15-26,2017,Wiley Online Library
"Kazakou, Elena; Violle, Cyrille; Roumet, Catherine; Navas, Marie‐Laure; Vile, Denis; Kattge, Jens; Garnier, Eric; ",Are trait‐based species rankings consistent across data sets and spatial scales?,Journal of Vegetation Science,25,1,235-247,2014,Wiley Online Library
"Rumpf, Sabine B; Hülber, Karl; Klonner, Günther; Moser, Dietmar; Schütz, Martin; Wessely, Johannes; Willner, Wolfgang; Zimmermann, Niklaus E; Dullinger, Stefan; ",Range dynamics of mountain plants decrease with elevation,Proceedings of the National Academy of Sciences,115,8,1848-1853,2018,National Acad Sciences
"Valverde‐Barrantes, Oscar J; Freschet, Grégoire T; Roumet, Catherine; Blackwood, Christopher B; ","A worldview of root traits: the influence of ancestry, growth form, climate and mycorrhizal association on the functional trait variation of fine‐root tissues in seed plants",New Phytologist,215,4,1562-1573,2017,Wiley Online Library
"Sakschewski, Boris; von Bloh, Werner; Boit, Alice; Rammig, Anja; Kattge, Jens; Poorter, Lourens; Peñuelas, Josep; Thonicke, Kirsten; ",Leaf and stem economics spectra drive diversity of functional plant traits in a dynamic global vegetation model,Global Change Biology,21,7,2711-2725,2015,Wiley Online Library
"Schneider, Fabian D; Morsdorf, Felix; Schmid, Bernhard; Petchey, Owen L; Hueni, Andreas; Schimel, David S; Schaepman, Michael E; ",Mapping functional diversity from remotely sensed morphological and physiological forest traits,Nature communications,8,1,12-Jan,2017,Nature Publishing Group
"Verheijen, LM; Brovkin, Victor; Aerts, Rien; Bönisch, Gerhard; Cornelissen, JHC; Kattge, Jens; Reich, Peter B; Wright, Ian J; Van Bodegom, PM; ",Impacts of trait variation through observed trait–climate relationships on performance of an Earth system model: a conceptual analysis,Biogeosciences,10,8,5497-5515,2013,Copernicus GmbH
"Schwery, Orlando; Onstein, Renske E; Bouchenak‐Khelladi, Yanis; Xing, Yaowu; Carter, Richard J; Linder, Hans Peter; ",As old as the mountains: the radiations of the Ericaceae,New Phytologist,207,2,355-367,2015,Wiley Online Library
"Paine, CE Timothy; Amissah, Lucy; Auge, Harald; Baraloto, Christopher; Baruffol, Martin; Bourland, Nils; Bruelheide, Helge; Daïnou, Kasso; de Gouvenain, Roland C; Doucet, Jean‐Louis; ","Globally, functional traits are weak predictors of juvenile tree growth, and we do not know why",Journal of Ecology,103,4,978-989,2015,Wiley Online Library
"Knapp, Sonja; Dinsmore, Lucy; Fissore, Cinzia; Hobbie, Sarah E; Jakobsdottir, Ina; Kattge, Jens; King, Jennifer Y; Klotz, Stefan; McFadden, Joseph P; Cavender-Bares, Jeannine; ",Phylogenetic and functional characteristics of household yard floras and their changes along an urbanization gradient,Ecology,93,sp8,S83-S98,2012,Wiley Online Library
"Craven, Dylan; Eisenhauer, Nico; Pearse, William D; Hautier, Yann; Isbell, Forest; Roscher, Christiane; Bahn, Michael; Beierkuhnlein, Carl; Bönisch, Gerhard; Buchmann, Nina; ",Multiple facets of biodiversity drive the diversity–stability relationship,Nature ecology & evolution,2,10,1579-1587,2018,Nature Publishing Group
"O'Brien, Michael J; Engelbrecht, Bettina MJ; Joswig, Julia; Pereyra, Gabriela; Schuldt, Bernhard; Jansen, Steven; Kattge, Jens; Landhäusser, Simon M; Levick, Shaun R; Preisler, Yakir; ",A synthesis of tree functional traits related to drought‐induced mortality in forests across climatic zones,Journal of Applied Ecology,54,6,1669-1686,2017,Wiley Online Library
"Kattge, Jens; Ogle, Kiona; Bönisch, Gerhard; Díaz, Sandra; Lavorel, Sandra; Madin, Joshua; Nadrowski, Karin; Nöllert, Stephanie; Sartor, Karla; Wirth, Christian; ",A generic structure for plant trait databases,Methods in ecology and evolution,2,2,202-213,2011,Wiley Online Library
"Pietsch, Katherina A; Ogle, Kiona; Cornelissen, Johannes HC; Cornwell, William K; Bönisch, Gerhard; Craine, Joseph M; Jackson, Benjamin G; Kattge, Jens; Peltzer, Duane A; Penuelas, Josep; ",Global relationship of wood and leaf litter decomposability: the role of functional traits within and across plant organs,,,,,2014,Wiley Online Library
"He, Liming; Chen, Jing M; Pan, Yude; Birdsey, Richard; Kattge, Jens; ",Relationships between net primary productivity and forest stand age in US forests,Global Biogeochemical Cycles,26,3,,2012,Wiley Online Library
"Bruelheide, Helge; Dengler, Jürgen; Jiménez‐Alfaro, Borja; Purschke, Oliver; Hennekens, Stephan M; Chytrý, Milan; Pillar, Valério D; Jansen, Florian; Kattge, Jens; Sandel, Brody; ",sPlot–A new tool for global vegetation analyses,Journal of Vegetation Science,30,2,161-186,2019,Wiley Online Library
"Dallas, Tad; Decker, Robin R; Hastings, Alan; ",Species are not most abundant in the centre of their geographic range or climatic niche,Ecology letters,20,12,1526-1533,2017,Wiley Online Library
"Butler, Ethan E; Datta, Abhirup; Flores-Moreno, Habacuc; Chen, Ming; Wythers, Kirk R; Fazayeli, Farideh; Banerjee, Arindam; Atkin, Owen K; Kattge, Jens; Amiaud, Bernard; ",Mapping local and global variability in plant trait distributions,Proceedings of the National Academy of Sciences,114,51,E10937-E10946,2017,National Acad Sciences
"Aubin, I; Munson, AD; Cardou, F; Burton, PJ; Isabel, N; Pedlar, JH; Paquette, A; Taylor, AR; Delagrange, S; Kebli, H; ","Traits to stay, traits to move: a review of functional traits to assess sensitivity and adaptive capacity of temperate and boreal trees to climate change",Environmental Reviews,24,2,164-186,2016,NRC Research Press
"Schrodt, Franziska; Kattge, Jens; Shan, Hanhuai; Fazayeli, Farideh; Joswig, Julia; Banerjee, Arindam; Reichstein, Markus; Bönisch, Gerhard; Díaz, Sandra; Dickie, John; ",BHPMF–a hierarchical B ayesian approach to gap‐filling and trait prediction for macroecology and functional biogeography,Global Ecology and Biogeography,24,12,1510-1521,2015,Wiley Online Library
"Ma, Suhui; He, Feng; Tian, Di; Zou, Dongting; Yan, Zhengbing; Yang, Yulong; Zhou, Tiancheng; Huang, Kaiyue; Shen, Haihua; Fang, Jingyun; ",Variations and determinants of carbon content in plants: a global synthesis,Biogeosciences,15,3,693-702,2018,Copernicus GmbH
